date,address,latitude,longitude,day,month,year,mirid bug,mint,maxt,temp,dew,humidity,wspd,wdir,precip,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,bph
2015-03-23,Phatthalung Rice research Center,7.567,100.131,23,3,2015,0,26.5,29.0,27.8,23.2,76.56,5.6,56.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-24,Phatthalung Rice research Center,7.567,100.131,24,3,2015,0,27.2,33.8,31.3,22.7,60.98,22.4,74.88,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-25,Phatthalung Rice research Center,7.567,100.131,25,3,2015,0,28.2,31.1,29.8,24.9,75.15,22.3,70.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-26,Phatthalung Rice research Center,7.567,100.131,26,3,2015,0,28.6,32.4,31.3,24.4,66.95,24.5,74.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-27,Phatthalung Rice research Center,7.567,100.131,27,3,2015,0,28.9,33.1,31.6,24.8,67.36,26.8,71.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-28,Phatthalung Rice research Center,7.567,100.131,28,3,2015,0,28.5,30.2,29.4,23.8,72.02,15.5,77.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-29,Phatthalung Rice research Center,7.567,100.131,29,3,2015,0,28.5,33.6,32.1,24.8,65.79,22.0,75.88,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-30,Phatthalung Rice research Center,7.567,100.131,30,3,2015,0,28.7,32.1,30.5,25.1,73.02,21.3,79.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-03-31,Phatthalung Rice research Center,7.567,100.131,31,3,2015,0,28.3,33.6,31.9,24.1,63.93,20.3,72.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,20,273,93,198,75,6,0
2015-04-01,Phatthalung Rice research Center,7.567,100.131,1,4,2015,0,27.2,35.0,31.8,24.1,64.5,19.7,72.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-02,Phatthalung Rice research Center,7.567,100.131,2,4,2015,0,26.0,34.3,31.3,23.5,64.82,11.9,113.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-03,Phatthalung Rice research Center,7.567,100.131,3,4,2015,0,27.5,29.4,28.5,24.0,76.84,5.3,141.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-04,Phatthalung Rice research Center,7.567,100.131,4,4,2015,0,26.4,35.0,32.3,24.3,63.98,18.3,179.25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-05,Phatthalung Rice research Center,7.567,100.131,5,4,2015,0,27.2,33.4,30.2,23.8,69.93,13.6,111.75,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-06,Phatthalung Rice research Center,7.567,100.131,6,4,2015,0,26.9,35.3,32.7,23.5,59.82,16.5,149.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-07,Phatthalung Rice research Center,7.567,100.131,7,4,2015,0,27.9,34.1,31.7,25.1,68.75,16.7,49.83,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-08,Phatthalung Rice research Center,7.567,100.131,8,4,2015,0,27.9,29.7,28.8,22.8,70.08,14.6,44.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-09,Phatthalung Rice research Center,7.567,100.131,9,4,2015,0,28.9,34.5,32.6,22.6,56.51,20.3,56.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-10,Phatthalung Rice research Center,7.567,100.131,10,4,2015,0,27.9,32.8,30.7,24.2,69.41,9.3,97.75,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-11,Phatthalung Rice research Center,7.567,100.131,11,4,2015,0,28.7,33.1,31.8,23.8,63.36,15.5,95.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-12,Phatthalung Rice research Center,7.567,100.131,12,4,2015,0,27.8,33.8,30.7,25.3,73.1,18.5,65.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
2015-04-13,Phatthalung Rice research Center,7.567,100.131,13,4,2015,0,27.8,29.6,28.7,24.6,78.61,9.2,72.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188,227,3048,1033,2214,840,64,0
