province Thai,province Eng,lat,long,กข 10,กขไม่ไวแสง,สุพรรณบุรี 60-90,ราชการไม่ไวแสง,พิษณุโลก2 60-2,ชัยนาท 1-2,หอมสุพรรณบุรี,ปทุมธานี 1,สุพรรณบุรี 1
ระนอง,Ranong,9.84295,98.57283333,0,0,0,0,0,0,0,0,0
ราชบุรี,Ratchaburi,13.60378641,99.80105825,0,3236,96,431,0,3007,0,1751,2851
ระยอง,Rayong,12.77290909,101.4139394,0,1425,465,285,145,384,0,27,257
ร้อยเอ็ด,Roi Et,15.94159686,103.8014241,1846,18608,505,2350,10148,24068,294,985,2151
สระแก้ว,Sa kaeo,13.72012069,102.3403103,0,0,0,63,0,0,0,614,0
สกลนคร,Sakon Nakhon,17.40146774,103.8297419,9172,2594,0,9068,0,1343,0,1028,129
สมุทรปราการ,Samut Prakarn,13.61855102,100.655449,0,8071,2423,588,3306,225,0,2460,187
สมุทรสาคร,Samut Sakhon,13.58789744,100.2134103,0,1350,31,56,1561,148,0,89,315
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,0,63,0,0,53,40,0,0,0
สระบุรี,Saraburi,14.55531481,100.8865463,0,7427,0,136,310,981,0,1858,8965
สตูล,Satun,6.695068182,99.72796591,0,104,0,32,0,0,0,64,0
ศรีสะเกษ,Si Sa Ket,14.94141872,104.3277783,2469,5737,40,15063,0,30143,0,4349,70
สิงห์บุรี,Sing Buri,14.88357143,100.3582143,0,17110,0,832,758,0,0,8342,1022
สงขลา,Songkhla,7.117804348,100.5218768,0,34532,457,312,2515,4901,0,1991,1198
สุโขทัย,Sukhothai,17.1496,99.79715294,0,58857,7502,50736,67824,5172,101,1801,22673
สุพรรณบุรี,Suphan Buri,14.53585185,100.015287,0,355387,2289,11422,6625,787,992,27957,23219
สุราษฎร์ธานี,Surat Thani,9.228121053,99.40556316,0,169,0,462,383,139,0,2511,56
สุรินทร์,Surin,14.93708228,103.669962,889,4729,0,7216,86,4622,0,4626,328
ตาก,Tak,16.84066102,98.83098305,0,239,128,593,410,389,0,36,275
ตรัง,Trang,7.479578947,99.55433333,0,218,0,47,0,0,0,0,0
ตราด,Trat,12.10803774,102.4909057,0,187,0,678,0,0,0,752,0
อุบลราชธานี,Ubon Ratchathani,15.27789498,105.0215845,19105,41570,140,16616,438,12284,182,822,616
อุดรธานี,Udon Thani,17.40975974,102.883539,18520,9015,0,3506,293,3106,0,521,0
อุทัยธานี,Uthai Thani,15.37220588,99.80179412,0,50425,808,2963,2750,2069,0,8512,1639
อุตรดิตถ์,Uttaradit,17.63522727,100.3226667,0,15345,2332,8962,24808,538,379,5589,7164
ยะลา,Yala,6.389631579,101.2610877,0,0,0,0,0,0,0,0,0
ยโสธร,Yasothon,15.83362821,104.3002051,4132,2949,588,682,0,16141,0,385,236
