number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clipnorm,params_conv_filters,params_dropout,params_kernel_size,params_lr,params_lstm_units,user_attrs_r2_log1p,user_attrs_r2_raw,user_attrs_val_loss,state
15,0.4587225914001465,2026-05-19 02:31:02.670627,2026-05-19 02:31:44.431345,0 days 00:00:41.760718,256,1.0,128,0.21091680053408743,3,0.0005471398438232563,64,,,,PRUNED
16,0.5028744339942932,2026-05-19 02:31:44.432343,2026-05-19 02:33:03.212384,0 days 00:01:18.780041,128,0.5,32,0.3009875659573397,7,0.00016260169862785818,32,,,,PRUNED
17,-0.45319777727127075,2026-05-19 02:33:03.214032,2026-05-19 02:36:29.532061,0 days 00:03:26.318029,128,1.0,128,0.14247527249570535,3,0.0002694489354317261,64,0.45319777727127075,0.005795001983642578,0.39174360036849976,COMPLETE
18,0.4591100513935089,2026-05-19 02:36:29.534106,2026-05-19 02:37:13.451703,0 days 00:00:43.917597,256,0.5,128,0.35789496255866543,7,0.0002956519916346969,256,,,,PRUNED
19,0.45868247747421265,2026-05-19 02:37:13.453369,2026-05-19 02:39:45.374824,0 days 00:02:31.921455,64,2.0,32,0.23485529208526873,5,0.0004231349646013272,64,,,,PRUNED
20,0.5213723182678223,2026-05-19 02:39:45.375638,2026-05-19 02:40:26.892826,0 days 00:00:41.517188,256,1.0,128,0.15282894882352777,7,0.0001960852981946188,32,,,,PRUNED
21,-0.4921141266822815,2026-05-19 02:40:26.894702,2026-05-19 02:42:29.663437,0 days 00:02:02.768735,256,2.0,128,0.10482659194747876,5,0.0004471133995023481,32,0.4921141266822815,0.010869741439819336,0.37357449531555176,COMPLETE
22,0.4196631610393524,2026-05-19 02:42:29.664969,2026-05-19 02:43:31.106809,0 days 00:01:01.441840,256,2.0,128,0.12940855349609165,5,0.0006970336727496961,32,,,,PRUNED
23,0.4700063169002533,2026-05-19 02:43:31.108386,2026-05-19 02:44:13.491451,0 days 00:00:42.383065,256,2.0,128,0.2212506262708488,5,0.00040291543746437343,32,,,,PRUNED
24,0.49293994903564453,2026-05-19 02:44:13.493175,2026-05-19 02:44:55.301945,0 days 00:00:41.808770,256,2.0,128,0.17457603201488256,5,0.0005448702399419325,32,,,,PRUNED
25,0.47330358624458313,2026-05-19 02:44:55.303560,2026-05-19 02:46:14.911537,0 days 00:01:19.607977,128,0.5,128,0.28040009093143703,5,0.00027151749175947,32,,,,PRUNED
26,0.47552385926246643,2026-05-19 02:46:14.913003,2026-05-19 02:46:57.150551,0 days 00:00:42.237548,256,2.0,128,0.13018006664096643,3,0.0001355714612688141,64,,,,PRUNED
27,-0.5100914239883423,2026-05-19 02:46:57.152109,2026-05-19 02:49:30.297844,0 days 00:02:33.145735,256,0.5,128,0.16784179225549817,3,0.0006506093473790008,256,0.5100914239883423,0.01134347915649414,0.3799063563346863,COMPLETE
28,0.49035704135894775,2026-05-19 02:49:30.300003,2026-05-19 02:50:13.588473,0 days 00:00:43.288470,256,1.0,32,0.16176079049195194,7,0.0006696760918307674,256,,,,PRUNED
29,0.5031202435493469,2026-05-19 02:50:13.589219,2026-05-19 02:53:59.537451,0 days 00:03:45.948232,64,2.0,64,0.10140380612929337,5,0.0009176238507065324,256,,,,PRUNED
