province_th,province_en,lat,lon,month,area_rai,year,crop_season,month_num,date
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Feb,0,2016,in_season,2,2016-02-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Mar,0,2016,in_season,3,2016-03-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Apr,0,2016,in_season,4,2016-04-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,May,0,2016,in_season,5,2016-05-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jun,0,2016,in_season,6,2016-06-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jul,212,2016,in_season,7,2016-07-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Aug,1911,2016,in_season,8,2016-08-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Sep,516,2016,in_season,9,2016-09-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Oct,0,2016,in_season,10,2016-10-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Nov,0,2016,in_season,11,2016-11-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Dec,0,2016,in_season,12,2016-12-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jan,0,2017,in_season,1,2017-01-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Feb,0,2017,in_season,2,2017-02-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Mar,0,2017,in_season,3,2017-03-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Apr,0,2017,in_season,4,2017-04-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,May,0,2017,in_season,5,2017-05-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jun,0,2017,in_season,6,2017-06-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jul,178,2017,in_season,7,2017-07-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Aug,1447,2017,in_season,8,2017-08-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Sep,415,2017,in_season,9,2017-09-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Oct,0,2017,in_season,10,2017-10-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Nov,0,2017,in_season,11,2017-11-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Dec,0,2017,in_season,12,2017-12-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jan,0,2018,in_season,1,2018-01-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Feb,0,2018,in_season,2,2018-02-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Mar,0,2018,in_season,3,2018-03-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Apr,0,2018,in_season,4,2018-04-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,May,0,2018,in_season,5,2018-05-01
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,Jun,0,2018,in_season,6,2018-06-01
